Generations,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Best Fitness Score
Gen 88,51272.76198563178,47341.73391833211,46508.88940885993,51676.97447360997,49416.88553934471,46508.88940885993
Gen 89,50715.90334843916,47341.73391833211,46508.88940885993,51578.71126773897,49416.88553934471,46508.88940885993
Gen 90,50715.90334843916,47341.73391833211,46508.88940885993,51563.17364023366,49416.88553934471,46508.88940885993
Gen 91,50715.90334843916,47341.73391833211,46508.88940885993,51563.17364023366,49416.88553934471,46508.88940885993
Gen 92,50641.28665336277,47341.73391833211,46508.88940885993,51539.68480858459,49416.88553934471,46508.88940885993
Gen 93,50641.28665336277,45730.531640957015,46508.88940885993,51539.68480858459,49416.88553934471,45730.531640957015
Gen 94,50641.28665336277,45730.531640957015,46508.88940885993,51375.70273214472,49416.88553934471,45730.531640957015
Gen 95,50641.28665336277,45730.531640957015,46508.88940885993,51166.371337633565,49416.88553934471,45730.531640957015
Gen 96,50641.28665336277,45730.531640957015,46508.88940885993,51166.371337633565,49416.88553934471,45730.531640957015
Gen 97,50641.28665336277,45730.531640957015,46508.88940885993,51166.371337633565,49416.88553934471,45730.531640957015
Gen 98,50203.312304126135,45730.531640957015,46508.88940885993,51166.371337633565,49416.88553934471,45730.531640957015
Gen 99,50203.312304126135,45730.531640957015,46508.88940885993,51166.371337633565,49416.88553934471,45730.531640957015
Gen 100,50203.312304126135,45730.531640957015,46508.88940885993,51120.51508216019,49416.88553934471,45730.531640957015
Gen 101,50203.312304126135,45730.531640957015,46508.88940885993,50388.04162936606,49132.88716938273,45730.531640957015
Gen 102,50203.312304126135,45730.531640957015,46508.88940885993,50388.04162936606,48466.257977189394,45730.531640957015
Gen 103,49826.425821619785,45730.531640957015,46508.88940885993,50050.84101933803,47052.812684076234,45730.531640957015
Gen 104,49826.425821619785,45730.531640957015,46508.88940885993,50050.84101933803,47052.812684076234,45730.531640957015
Gen 105,49826.425821619785,45730.531640957015,46508.88940885993,50050.84101933803,47052.812684076234,45730.531640957015
